Country,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,Renewable electricity share of total electricity output (%),8.381618572,8.098454953,7.860918822,8.440698866,8.186650191,8.803706639,9.299307773,8.648072467,8.115257556,7.497934259,8.611879628,10.42665228,10.59265336,13.26410839,14.90671221,13.63784109
Australia,Renewable energy share of Total Energy Produced (%),8.423340659,8.370281372,8.738720713,7.15106567,6.680425721,6.711974547,6.853266823,6.95158629,6.789569274,7.112827151,8.109027293,8.25618115,8.247109347,9.08848191,9.278198457,9.18050296
Austria,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Austria,Renewable electricity share of total electricity output (%),72.54400909,69.15682775,69.01294765,60.78282872,64.20223413,63.62677749,65.51552516,68.68702896,69.23088844,71.13969479,66.21132275,65.63142343,74.52918061,78.02478699,81.05686835,76.49077927
Austria,Renewable energy share of Total Energy Produced (%),26.38785604,25.48367904,24.6848697,22.57879408,23.2193673,24.17441742,26.25426252,28.60093207,29.3561662,30.51438899,30.65921657,30.98859372,33.42653748,34.68060041,35.39427334,34.39499175
Azerbaijan,Access to electricity (% of total population),98.90822245,98.59178162,100,98.90182495,99.05349731,99.21097565,99.5,99.56214142,99.74180603,99.88473511,99.96567535,99.9,99.99971008,100,100,100
Azerbaijan,Renewable electricity share of total electricity output (%),8.203647254,6.858197153,10.80156141,11.59917317,12.67016188,13.15582371,10.25954447,10.82070765,10.31280322,12.24295103,18.42330305,13.1861634,7.921524274,6.67123405,5.629246199,7.039857421
Azerbaijan,Renewable energy share of Total Energy Produced (%),2.065646075,1.752523491,2.351898561,2.944782106,3.070784463,3.365196156,2.86158685,3.78869995,3.086307459,3.269144729,4.449734285,3.556332586,2.845521872,2.52609484,2.116818616,2.310757686
"Bahamas, The",Access to electricity (% of total population),95.61405182,96.065547,96.38525391,96.75839996,97.13132477,97.51009369,97.90076447,98.32530212,98.753685,99.18226624,99.56098938,99.82565308,99.95579529,99.99473572,100,100
"Bahamas, The",Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bahamas, The",Renewable energy share of Total Energy Produced (%),0,0.449767772,0.415960383,1.688629142,1.704699774,1.836391251,2.168172692,3.706604608,2.146393822,1.915094489,1.65566802,1.426272685,1.18468573,0.843903144,1.088802769,1.210512884
Bahrain,Access to electricity (% of total population),,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Bahrain,Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,Renewable energy share of Total Energy Produced (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,Access to electricity (% of total population),32,34.998806,37.30912399,39.61315918,40.6,44.23,50.52510246,46.5,51.24977493,53.63285446,55.26,59.6,60.87821579,61.5,62.4,68.2046814
Bangladesh,Renewable electricity share of total electricity output (%),4.749223258,5.709521619,4.012858291,3.799715909,3.034477171,2.832079253,2.536317768,2.415739397,2.776316559,1.121661242,1.787202746,1.974950739,1.600016474,1.946536145,1.319724237,1.226889902
Bangladesh,Renewable energy share of Total Energy Produced (%),59.00848427,55.79384213,54.32211192,52.63786238,52.12359365,50.7759641,48.90239769,47.48291615,45.58141547,43.68911699,41.05084179,39.43785524,38.61267863,38.76048127,37.63448349,34.74706901
Barbados,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Barbados,Renewable electricity share of total electricity output (%),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barbados,Renewable energy share of Total Energy Produced (%),13.62129553,12.28920655,11.06937967,9.947794351,9.929891519,9.907093465,9.903067874,9.710463916,8.628636507,9.380154784,9.031334484,4.584401714,4.132185058,3.400369191,3.156616954,2.786358206
Belarus,Access to electricity (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Belarus,Renewable electricity share of total electricity output (%),0.103444312,0.11969836,0.109615966,0.10515642,0.108939442,0.119505184,0.119455534,0.157089447,0.20828578,0.345667632,0.37254621,0.428571429,0.555212832,0.844256832,0.722614078,0.815679831
